kode_ba;kode_akun;kode_kab;blokir;kontrak;realisasi;bulan;tahun
'060;51;1311;0;0;2399887694;Juni;2023
'060;52;1306;0;801767695;1904382186;Juni;2023
'060;52;1311;0;594082500;746192271;Juni;2023
'060;53;1306;0;0;0;Juni;2023
'060;53;1311;0;1122406740;0;Juni;2023
'075;51;1306;0;0;136437407;Juni;2023
'075;52;1306;26380000;0;51061269;Juni;2023
'075;53;1306;0;0;0;Juni;2023
'076;51;1306;0;0;254943671;Juni;2023
'076;51;1311;0;0;249247031;Juni;2023
'076;52;1306;0;0;2870827917;Juni;2023
'076;52;1311;0;0;744610277;Juni;2023
'076;53;1306;0;0;0;Juni;2023
'076;53;1311;0;0;0;Juni;2023
115;51;1306;0;0;144856896;Juni;2023
115;52;1306;93398000;0;1282306542;Juni;2023
115;53;1306;36036000;0;0;Juni;2023
999;61;1306;0;0;5000705150;Juni;2023
999;61;1311;0;0;1120900800;Juni;2023
999;62;1306;0;0;50977419000;Juni;2023
999;62;1311;0;0;26108062000;Juni;2023
999;63;1306;0;0;18773597700;Juni;2023
999;63;1311;0;0;0;Juni;2023
999;64;1311;0;0;0;Juni;2023
999;65;1306;0;0;34132981000;Juni;2023
999;65;1311;0;0;9457429500;Juni;2023
999;66;1306;0;0;18979352550;Juni;2023
999;66;1311;0;0;7266348104;Juni;2023
'005;51;1306;0;0;412538937;Juli;2023
'005;52;1306;0;23333360;208212048;Juli;2023
'005;53;1306;0;0;0;Juli;2023
'006;51;1306;0;0;348124741;Juli;2023
'006;52;1306;0;0;154959300;Juli;2023
'006;53;1306;0;0;0;Juli;2023
'013;51;1306;0;0;400643187;Juli;2023
'013;52;1306;0;2768451165;1389180706;Juli;2023
'013;53;1306;0;0;0;Juli;2023
'015;51;1306;0;0;89619000;Juli;2023
'015;52;1306;0;0;484614169;Juli;2023
'015;53;1306;0;0;0;Juli;2023
'022;51;1306;0;0;663982828;Juli;2023
'022;52;1306;0;0;996761457;Juli;2023
'022;53;1306;0;11122984683;6292225600;Juli;2023
'023;51;1306;0;0;817427065;Juli;2023
'023;52;1306;0;0;1552821434;Juli;2023
'023;53;1306;0;0;35006850;Juli;2023
'025;51;1306;0;0;5324353624;Juli;2023
